,Accuracy,Recall,F1_score,Precision,False Positive rate,AUC
0,0.6619718309859155,0.6229508196721312,0.6129032258064517,0.6031746031746031,0.30864197530864196,0.6589759158065169
1,0.7676056338028169,0.7906976744186046,0.6732673267326732,0.5862068965517241,0.24242424242424243,0.807728447263331
2,0.7112676056338029,0.8392857142857143,0.6962962962962963,0.5949367088607594,0.37209302325581395,0.7609011627906977
3,0.6690140845070423,0.7894736842105263,0.656934306569343,0.5625,0.4117647058823529,0.740454076367389
4,0.6830985915492958,0.5614035087719298,0.5871559633027522,0.6153846153846154,0.23529411764705882,0.6733746130030959
5,0.7112676056338029,0.48,0.5393258426966293,0.6153846153846154,0.16304347826086957,0.6705434782608696
6,0.6901408450704225,0.41025641025641024,0.42105263157894735,0.43243243243243246,0.20388349514563106,0.6133930794124969
7,0.6690140845070423,0.5277777777777778,0.44705882352941173,0.3877551020408163,0.2830188679245283,0.633254716981132
8,0.704225352112676,0.6046511627906976,0.553191489361702,0.5098039215686274,0.25252525252525254,0.674301151045337
9,0.7676056338028169,0.6326530612244898,0.6526315789473685,0.6739130434782609,0.16129032258064516,0.7534562211981567
